"b","xL","x_kappa","x_lambda","xU","converged","message"
-1.7,-0.851652180822252,0.171654506454502,0.833179164567763,1.50933625092113,TRUE,"Function criterion near zero"
-1.69,-0.857257887481332,0.163763889190085,0.825392162319628,1.50275424242844,TRUE,"Function criterion near zero"
-1.68,-0.862885705374279,0.155868037396208,0.81760051393524,1.496178485134,TRUE,"Function criterion near zero"
-1.67,-0.86853539411126,0.147967092500107,0.809804362937927,1.48960917541922,TRUE,"Function criterion near zero"
-1.66,-0.874206712948021,0.140061195989178,0.802003852912333,1.48304651014835,TRUE,"Function criterion near zero"
-1.65,-0.879899420836703,0.13215048940044,0.794199127493643,1.47649068665745,TRUE,"Function criterion near zero"
-1.64,-0.885613276475188,0.124235114310259,0.786390330357084,1.46994190274351,TRUE,"Function criterion near zero"
-1.63,-0.891348038355027,0.116315212324253,0.778577605207604,1.46340035665346,TRUE,"Function criterion near zero"
-1.62,-0.897103464807947,0.108390925067428,0.770761095769793,1.45686624707316,TRUE,"Function criterion near zero"
-1.61,-0.902879314050989,0.100462394174492,0.762940945777988,1.45033977311634,TRUE,"Function criterion near zero"
-1.6,-0.90867534423026,0.0925297612803995,0.755117298966625,1.44382113431354,TRUE,"Function criterion near zero"
-1.59,-0.91449131346337,0.0845931680110654,0.747290299060745,1.43731053060091,TRUE,"Function criterion near zero"
-1.58,-0.920326979880545,0.0766527559742717,0.739460089766717,1.43080816230899,TRUE,"Function criterion near zero"
-1.57,-0.926182101664457,0.0687086667507696,0.731626814763158,1.42431423015134,TRUE,"Function criterion near zero"
-1.56,-0.932056437088801,0.0607610418855202,0.723790617691984,1.41782893521314,TRUE,"Function criterion near zero"
-1.55,-0.937949744555616,0.0528100228791667,0.715951642149716,1.41135247893961,TRUE,"Function criterion near zero"
-1.54,-0.943861782631428,0.0448557511796062,0.708110031678876,1.40488506312432,TRUE,"Function criterion near zero"
-1.53,-0.949792310082185,0.0368983681737699,0.700265929759597,1.39842688989739,TRUE,"Function criterion near zero"
-1.52,-0.955741085907059,0.0289380151795256,0.692419479801365,1.39197816171347,TRUE,"Function criterion near zero"
-1.51,-0.961707869371102,0.0209748334377477,0.684570825134924,1.38553908133963,TRUE,"Function criterion near zero"
-1.5,-0.96769242003681,0.0130089641045264,0.676720109004329,1.37910985184299,TRUE,"Function criterion near zero"
-1.49,-0.973694497794618,0.00504054824349456,0.668867474559114,1.3726906765782,TRUE,"Function criterion near zero"
-1.48,-0.97971386289234,-0.00293027318169192,0.661013064846616,1.36628175917471,TRUE,"Function criterion near zero"
-1.47,-0.985750275963584,-0.0109033593147532,0.65315702280443,1.35988330352379,TRUE,"Function criterion near zero"
-1.46,-0.991803498055193,-0.0188785694140824,0.645299491252947,1.35349551376533,TRUE,"Function criterion near zero"
-1.45,-0.997873290653697,-0.026855762859909,0.637440612888054,1.34711859427441,TRUE,"Function criterion near zero"
-1.44,-1.00395941571084,-0.0348347991613639,0.62958053027391,1.34075274964755,TRUE,"Function criterion near zero"
-1.43,-1.01006163566817,-0.0428155379634424,0.621719385835835,1.33439818468869,TRUE,"Function criterion near zero"
-1.42,-1.01617971348078,-0.0507978390538699,0.613857321853296,1.32805510439495,TRUE,"Function criterion near zero"
-1.41,-1.02231341264017,-0.0587815623698879,0.605994480452967,1.32172371394197,TRUE,"Function criterion near zero"
-1.4,-1.02846249719623,-0.0667665680049325,0.598131003601901,1.315404218669,TRUE,"Function criterion near zero"
-1.39,-1.03462673177849,-0.0747527162152529,0.590267033100763,1.3090968240636,TRUE,"Function criterion near zero"
-1.38,-1.04080588161651,-0.0827398674264506,0.582402710577132,1.30280173574604,TRUE,"Function criterion near zero"
-1.37,-1.04699971255957,-0.0907278822399612,0.574538177478869,1.29651915945328,TRUE,"Function criterion near zero"
-1.36,-1.05320799109556,-0.0987166214394512,0.566673575067564,1.29024930102262,TRUE,"Function criterion near zero"
-1.35,-1.05943048436925,-0.106705945997177,0.558809044412003,1.28399236637483,TRUE,"Function criterion near zero"
-1.34,-1.06566696019975,-0.114695717080297,0.55094472638173,1.27774856149705,TRUE,"Function criterion near zero"
